palavra,relevancia
a,4.306301676893127
do,4.306301676893127
de,4.306301676893127
O,4.266273056850409
o,4.266273056850409
em,4.266273056850409
por,4.266273056850409
-,4.266273056850409
com,4.266273056850409
e,4.22325194364681
no,4.176862898593196
que,4.176862898593196
como,4.176862898593196
da,4.176862898593196
é,4.126659952586971
um,4.126659952586971
sua,4.126659952586971
para,4.126659952586971
na,4.126659952586971
mais,4.126659952586971
dos,4.126659952586971
uma,4.126659952586971
ao,4.126659952586971
os,4.072108324327295
das,4.012559914260712
A,4.012559914260712
seu,4.012559914260712
|,4.012559914260712
Os,3.9472198762283845
todos,3.9472198762283845
for,3.9472198762283845
sobre,3.9472198762283845
2020,3.9472198762283845
De,3.9472198762283845
pelo,3.9472198762283845
já,3.9472198762283845
tem,3.875100109740716
não,3.875100109740716
foram,3.875100109740716
–,3.875100109740716
Por,3.875100109740716
outubro,3.875100109740716
2017,3.875100109740716
estão,3.875100109740716
São,3.875100109740716
seus,3.875100109740716
Brasil,3.875100109740716
No,3.875100109740716
site,3.875100109740716
estado,3.794953085216449
Segundo,3.794953085216449
fazer,3.794953085216449
Silva,3.794953085216449
dia,3.794953085216449
pesquisa,3.794953085216449
projeto,3.794953085216449
El,3.794953085216449
Dias,3.794953085216449
Rio,3.794953085216449
pela,3.794953085216449
maio,3.794953085216449
y,3.794953085216449
Notícias,3.794953085216449
informações,3.794953085216449
(11),3.794953085216449
está,3.794953085216449
duas,3.794953085216449
Veja,3.794953085216449
nesta,3.794953085216449
João,3.794953085216449
Menu,3.794953085216449
nas,3.794953085216449
As,3.794953085216449
as,3.794953085216449
Paulo,3.794953085216449
Jorge,3.705175222024385
Moreira,3.705175222024385
and,3.705175222024385
Martins,3.705175222024385
Santana,3.705175222024385
cada,3.705175222024385
Fernando,3.705175222024385
governo,3.705175222024385
Rodrigo,3.705175222024385
Nunes,3.705175222024385
Alves,3.705175222024385
anos,3.705175222024385
Michel,3.705175222024385
Thiago,3.705175222024385
Nova,3.705175222024385
Francisco,3.705175222024385
Junior,3.705175222024385
Renato,3.705175222024385
Eduardo,3.705175222024385
Carlos,3.705175222024385
Moraes,3.705175222024385
país,3.705175222024385
aqui,3.705175222024385
todo,3.705175222024385
blog,3.705175222024385
