palavra,relevancia
a,5.198820199005647
de,5.198314374315817
do,5.196984610254981
no,5.1962575264998545
A,5.194742461797357
-,5.194742461797357
e,5.194742461797357
o,5.190958867326272
com,5.190958867326272
para,5.187584932103149
em,5.185612620494976
da,5.185612620494976
as,5.182661459823505
um,5.176527510910023
na,5.175542133134948
por,5.171304618889937
1,5.166562436351425
que,5.163988129060147
mais,5.161270244449466
O,5.159855436596743
dos,5.158402257540624
of,5.155377250501119
os,5.15052914475782
and,5.148826355240976
2,5.148826355240976
uma,5.148826355240976
3,5.147078461692032
é,5.145284378796648
2020,5.145284378796648
não,5.141553129102994
for,5.13961361276138
The,5.135580632291396
the,5.1313336849464655
to,5.126861701490246
seu,5.126861701490246
|,5.126861701490246
das,5.124537652920033
5,5.124537652920033
4,5.122152840967864
in,5.114617414230404
Home,5.114617414230404
10,5.109258842854919
à,5.109258842854919
–,5.10647349388973
sua,5.1036147952559565
sobre,5.100680672853443
se,5.097668973433431
ao,5.097668973433431
by,5.091403811251466
with,5.091403811251466
ou,5.088145610081168
De,5.088145610081168
como,5.084800346058365
Brasil,5.084800346058365
No,5.084800346058365
&,5.0813654069299625
on,5.0813654069299625
As,5.077838074084804
site,5.077838074084804
2019,5.074215516968943
I,5.066672811923034
seus,5.062746387665485
New,5.058712172510596
E,5.058712172510596
são,5.054566678699755
São,5.045927124570042
©,5.041425282171705
entre,5.032036657226533
7,5.027140963559339
2018,5.022104720861468
is,5.022104720861468
(11),5.022104720861468
All,5.011590316891606
pelo,5.011590316891606
Para,5.006101390630037
está,5.006101390630037
2016,5.006101390630037
2017,5.000450352881896
online,5.000450352881896
Com,4.994631116554832
você,4.994631116554832
sem,4.994631116554832
0,4.994631116554832
Paulo,4.994631116554832
ser,4.988637278735206
In,4.988637278735206
6,4.988637278735206
pode,4.988637278735206
tem,4.982462099374586
Por,4.982462099374586
Mais,4.976098478188589
Política,4.969538929587669
Contato,4.969538929587669
20,4.969538929587669
that,4.9627755554379975
an,4.955800015426279
foi,4.955800015426279
you,4.955800015426279
For,4.955800015426279
nas,4.955800015426279
